method,family,dim,bytes_per_embedding,compression,spearman
PCA-256 topm-96,PCA top-m int8,256,288,5.333333333333333,0.8621672231046814
PCA-256 topm-128,PCA top-m int8,256,384,4.0,0.8655117093985123
RandRot-256-s1 topm-4,Random rotation top-m int8,256,12,128.0,0.6317570035807861
RandRot-256-s1 topm-8,Random rotation top-m int8,256,24,64.0,0.7276731465682375
RandRot-256-s1 topm-12,Random rotation top-m int8,256,36,42.666666666666664,0.7732600354671387
RandRot-256-s1 topm-16,Random rotation top-m int8,256,48,32.0,0.7972478543916548
RandRot-256-s1 topm-24,Random rotation top-m int8,256,72,21.333333333333332,0.8191801163886653
RandRot-256-s1 topm-32,Random rotation top-m int8,256,96,16.0,0.830956256725803
RandRot-256-s1 topm-48,Random rotation top-m int8,256,144,10.666666666666666,0.8462517530465126
RandRot-256-s1 topm-64,Random rotation top-m int8,256,192,8.0,0.8533409892555962
RandRot-256-s1 topm-96,Random rotation top-m int8,256,288,5.333333333333333,0.8594051500241682
RandRot-256-s1 topm-128,Random rotation top-m int8,256,384,4.0,0.8646211038016894
RandRot-256-s2 topm-4,Random rotation top-m int8,256,12,128.0,0.6200462110920612
RandRot-256-s2 topm-8,Random rotation top-m int8,256,24,64.0,0.7224537757886861
RandRot-256-s2 topm-12,Random rotation top-m int8,256,36,42.666666666666664,0.7700997861978708
RandRot-256-s2 topm-16,Random rotation top-m int8,256,48,32.0,0.7972007979098378
RandRot-256-s2 topm-24,Random rotation top-m int8,256,72,21.333333333333332,0.8279889620076741
RandRot-256-s2 topm-32,Random rotation top-m int8,256,96,16.0,0.8414361055950691
RandRot-256-s2 topm-48,Random rotation top-m int8,256,144,10.666666666666666,0.8512075126942933
RandRot-256-s2 topm-64,Random rotation top-m int8,256,192,8.0,0.8562024022623164
RandRot-256-s2 topm-96,Random rotation top-m int8,256,288,5.333333333333333,0.8603306524422268
RandRot-256-s2 topm-128,Random rotation top-m int8,256,384,4.0,0.8640265446725167
RandRot-256-s3 topm-4,Random rotation top-m int8,256,12,128.0,0.6454993441259766
RandRot-256-s3 topm-8,Random rotation top-m int8,256,24,64.0,0.73652540687737
RandRot-256-s3 topm-12,Random rotation top-m int8,256,36,42.666666666666664,0.7779702292183618
RandRot-256-s3 topm-16,Random rotation top-m int8,256,48,32.0,0.8027697757095215
RandRot-256-s3 topm-24,Random rotation top-m int8,256,72,21.333333333333332,0.8231345464315613
RandRot-256-s3 topm-32,Random rotation top-m int8,256,96,16.0,0.8370591220017924
RandRot-256-s3 topm-48,Random rotation top-m int8,256,144,10.666666666666666,0.8499777769701947
RandRot-256-s3 topm-64,Random rotation top-m int8,256,192,8.0,0.8561648292826501
RandRot-256-s3 topm-96,Random rotation top-m int8,256,288,5.333333333333333,0.8616098686275186
RandRot-256-s3 topm-128,Random rotation top-m int8,256,384,4.0,0.8643167601752887
RandRot-256-s4 topm-4,Random rotation top-m int8,256,12,128.0,0.6573466719860682
RandRot-256-s4 topm-8,Random rotation top-m int8,256,24,64.0,0.7491369917707021
RandRot-256-s4 topm-12,Random rotation top-m int8,256,36,42.666666666666664,0.7832612355227814
RandRot-256-s4 topm-16,Random rotation top-m int8,256,48,32.0,0.8084056849232617
RandRot-256-s4 topm-24,Random rotation top-m int8,256,72,21.333333333333332,0.8309621595338711
RandRot-256-s4 topm-32,Random rotation top-m int8,256,96,16.0,0.8420841663993628
RandRot-256-s4 topm-48,Random rotation top-m int8,256,144,10.666666666666666,0.8526508108433537
RandRot-256-s4 topm-64,Random rotation top-m int8,256,192,8.0,0.8559453255724495
RandRot-256-s4 topm-96,Random rotation top-m int8,256,288,5.333333333333333,0.8643981072065161
RandRot-256-s4 topm-128,Random rotation top-m int8,256,384,4.0,0.8669101925700261
RandRot-256-s5 topm-4,Random rotation top-m int8,256,12,128.0,0.6348558506999687
RandRot-256-s5 topm-8,Random rotation top-m int8,256,24,64.0,0.7291922357509986
RandRot-256-s5 topm-12,Random rotation top-m int8,256,36,42.666666666666664,0.7736200772088688
RandRot-256-s5 topm-16,Random rotation top-m int8,256,48,32.0,0.8038111803578246
RandRot-256-s5 topm-24,Random rotation top-m int8,256,72,21.333333333333332,0.8233159118259119
RandRot-256-s5 topm-32,Random rotation top-m int8,256,96,16.0,0.8337640006563394
RandRot-256-s5 topm-48,Random rotation top-m int8,256,144,10.666666666666666,0.848681820559827
RandRot-256-s5 topm-64,Random rotation top-m int8,256,192,8.0,0.8583043627876348
RandRot-256-s5 topm-96,Random rotation top-m int8,256,288,5.333333333333333,0.8642585181422126
RandRot-256-s5 topm-128,Random rotation top-m int8,256,384,4.0,0.8677819618549175
PCA-384 float32,PCA float32,384,1536,1.0,0.8687899109490904
PCA-384 int8 dense,PCA int8 dense,384,384,4.0,0.8687156109582628
PCA-384 topm-4,PCA top-m int8,384,12,128.0,0.5657387784571976
PCA-384 topm-8,PCA top-m int8,384,24,64.0,0.6620587420131377
PCA-384 topm-12,PCA top-m int8,384,36,42.666666666666664,0.7163704911527813
PCA-384 topm-16,PCA top-m int8,384,48,32.0,0.7506703710362194
PCA-384 topm-24,PCA top-m int8,384,72,21.333333333333332,0.7897649736562476
PCA-384 topm-32,PCA top-m int8,384,96,16.0,0.8095349214879201
PCA-384 topm-48,PCA top-m int8,384,144,10.666666666666666,0.8372380368616382
